epoch,loss,returns,fireworks,lives,epi_length,num_epis,batch_size,illegal_moves,prob0
60500,0.0,-6.0,1.2803999006239675,0.0,4.2803999006239675,117.68,503.28,0.0,0.0
60600,0.0,-6.0,1.281781372094737,0.0,4.281781372094738,117.52,502.85,0.0,0.0
60700,0.0,-6.0,1.2854038961093786,0.0,4.285403896109378,117.45,502.9,0.0,0.0
60800,0.0,-6.0,1.2630579816958998,0.0,4.2630579816959,118.09,503.01,0.0,0.0
60900,0.0,-6.0,1.2470259454692518,0.0,4.247025945469252,118.47,502.66,0.0,0.0
61000,0.0,-6.0,1.2587490941685586,0.0,4.258749094168559,118.19,503.01,0.0,0.0
61100,0.0,-6.0,1.2551052228102209,0.0,4.25510522281022,118.21,502.61,0.0,0.0
61200,0.0,-6.0,1.2651006223169035,0.0,4.265100622316904,117.91,502.54,0.0,0.0
61300,0.0,-6.0,1.280320777326657,0.0,4.280320777326656,117.51,502.55,0.0,0.0
61400,0.0,-6.0,1.2625477159075962,0.0,4.262547715907596,118.08,502.97,0.0,0.0
61500,0.0,-6.0,1.234177668610709,0.0,4.234177668610709,118.78,502.64,0.0,0.0
61600,0.0,-6.0,1.2717142882596004,0.0,4.271714288259601,117.83,502.95,0.0,0.0
61700,0.0,-6.0,1.2424875126421502,0.0,4.24248751264215,118.65,502.99,0.0,0.0
61800,0.0,-6.0,1.2694786193172356,0.0,4.269478619317235,117.86,502.78,0.0,0.0
61900,0.0,-6.0,1.2510255135909107,0.0,4.2510255135909105,118.4,502.93,0.0,0.0
62000,0.0,-6.0,1.2986341097573442,0.0,4.2986341097573435,117.07,502.83,0.0,0.0
62100,0.0,-6.0,1.2678837063423374,0.0,4.267883706342337,117.88,502.77,0.0,0.0
62200,0.0,-6.0,1.2482680179265067,0.0,4.248268017926507,118.4,502.67,0.0,0.0
62300,0.0,-6.0,1.2553344257452763,0.0,4.255334425745277,118.26,502.95,0.0,0.0
62400,0.0,-6.0,1.2503209857572417,0.0,4.250320985757242,118.35,502.64,0.0,0.0
62500,0.0,-6.0,1.2730185264822262,0.0,4.273018526482227,117.82,503.07,0.0,0.0
62600,0.0,-6.0,1.2447987925235127,0.0,4.244798792523513,118.49,502.69,0.0,0.0
62700,0.0,-6.0,1.2727923005955413,0.0,4.272792300595541,117.71,502.61,0.0,0.0
62800,0.0,-6.0,1.282473371030568,0.0,4.282473371030568,117.48,502.7,0.0,0.0
62900,0.0,-6.0,1.264000759953328,0.0,4.264000759953328,118.04,502.97,0.0,0.0
63000,0.0,-6.0,1.2559549922457867,0.0,4.255954992245787,118.18,502.57,0.0,0.0
63100,0.0,-6.0,1.2607283207798323,0.0,4.260728320779832,118.08,502.67,0.0,0.0
63200,0.0,-6.0,1.2618512053999518,0.0,4.261851205399952,118.18,503.27,0.0,0.0
63300,0.0,-6.0,1.2439348017067466,0.0,4.243934801706747,118.55,502.77,0.0,0.0
63400,0.0,-6.0,1.2919727541581338,0.0,4.291972754158133,117.24,502.79,0.0,0.0
63500,0.0,-6.0,1.2391133690589147,0.0,4.239113369058915,118.74,503.02,0.0,0.0
63600,0.0,-6.0,1.2403471420988788,0.0,4.240347142098878,118.61,502.56,0.0,0.0
63700,0.0,-6.0,1.243428198508842,0.0,4.243428198508842,118.58,502.77,0.0,0.0
63800,0.0,-6.0,1.2650576245325404,0.0,4.26505762453254,118.02,502.92,0.0,0.0
63900,0.0,-6.0,1.2444167962651178,0.0,4.244416796265118,118.57,502.94,0.0,0.0
64000,0.0,-6.0,1.2539710327979843,0.0,4.253971032797984,118.35,503.09,0.0,0.0
64100,0.0,-6.0,1.2559499485023433,0.0,4.255949948502343,118.24,502.71,0.0,0.0
64200,0.0,-6.0,1.2378539004791096,0.0,4.23785390047911,118.73,502.87,0.0,0.0
64300,0.0,-6.0,1.2572124759542331,0.0,4.2572124759542325,118.2,502.87,0.0,0.0
64400,0.0,-6.0,1.2528210560205835,0.0,4.252821056020584,118.33,502.86,0.0,0.0
64500,0.0,-6.0,1.2553265765607742,0.0,4.2553265765607735,118.25,502.77,0.0,0.0
64600,0.0,-6.0,1.2550240948061053,0.0,4.255024094806106,118.29,502.93,0.0,0.0
64700,0.0,-6.0,1.244997743232707,0.0,4.244997743232708,118.5,502.72,0.0,0.0
64800,0.0,-6.0,1.2723972356151996,0.0,4.272397235615199,117.8,502.93,0.0,0.0
64900,0.0,-6.0,1.2573840056532553,0.0,4.257384005653256,118.18,502.84,0.0,0.0
65000,0.0,-6.0,1.2642963717482454,0.0,4.264296371748245,118.02,502.82,0.0,0.0
65100,0.0,-6.0,1.2390647336476879,0.0,4.239064733647688,118.78,503.09,0.0,0.0
65200,0.0,-6.0,1.27504512965274,0.0,4.2750451296527405,117.66,502.65,0.0,0.0
65300,0.0,-6.0,1.2436106963133382,0.0,4.243610696313338,118.54,502.67,0.0,0.0
65400,0.0,-6.0,1.2583001741205866,0.0,4.258300174120587,118.18,502.82,0.0,0.0
65500,0.0,-6.0,1.2786927284600837,0.0,4.278692728460084,117.62,502.85,0.0,0.0
65600,0.0,-6.0,1.2788975407811076,0.0,4.278897540781108,117.66,502.93,0.0,0.0
65700,0.0,-6.0,1.2537327726243488,0.0,4.253732772624349,118.25,502.65,0.0,0.0
65800,0.0,-6.0,1.23516294515261,0.0,4.23516294515261,118.78,502.71,0.0,0.0
65900,0.0,-6.0,1.255579191650283,0.0,4.255579191650283,118.25,502.74,0.0,0.0
66000,0.0,-6.0,1.2597447515692635,0.0,4.259744751569263,118.15,502.89,0.0,0.0
66100,0.0,-6.0,1.2382642858780344,0.0,4.238264285878034,118.79,503.05,0.0,0.0
66200,0.0,-6.0,1.2759341859406925,0.0,4.275934185940693,117.66,502.76,0.0,0.0
66300,0.0,-6.0,1.2565140128125263,0.0,4.256514012812527,118.22,502.83,0.0,0.0
66400,0.0,-6.0,1.257430490078482,0.0,4.257430490078482,118.18,502.81,0.0,0.0
66500,0.0,-6.0,1.2580563615939866,0.0,4.258056361593987,118.12,502.65,0.0,0.0
66600,0.0,-6.0,1.2831570590865886,0.0,4.283157059086588,117.53,502.93,0.0,0.0
66700,0.0,-6.0,1.2544443763048891,0.0,4.254444376304889,118.32,503.06,0.0,0.0
66800,0.0,-6.0,1.2488982086978364,0.0,4.248898208697836,118.43,502.82,0.0,0.0
66900,0.0,-6.0,1.262428826716052,0.0,4.262428826716052,118.06,502.9,0.0,0.0
67000,0.0,-6.0,1.2645071959279763,0.0,4.264507195927977,118.09,503.09,0.0,0.0
67100,0.0,-6.0,1.2488429541090453,0.0,4.248842954109046,118.46,502.91,0.0,0.0
67200,0.0,-6.0,1.273809377576485,0.0,4.273809377576485,117.75,502.87,0.0,0.0
67300,0.0,-6.0,1.246462412556328,0.0,4.246462412556328,118.49,502.78,0.0,0.0
67400,0.0,-6.0,1.250485981208304,0.0,4.250485981208304,118.35,502.67,0.0,0.0
67500,0.0,-6.0,1.2724540182246336,0.0,4.272454018224633,117.78,502.83,0.0,0.0
67600,0.0,-6.0,1.2519766745974439,0.0,4.2519766745974445,118.35,502.89,0.0,0.0
67700,0.0,-6.0,1.2444152152492816,0.0,4.244415215249282,118.57,502.91,0.0,0.0
67800,0.0,-6.0,1.2840833750427254,0.0,4.284083375042725,117.45,502.82,0.0,0.0
67900,0.0,-6.0,1.2594457639502825,0.0,4.259445763950283,118.19,503.0,0.0,0.0
68000,0.0,-6.0,1.2554553386788445,0.0,4.255455338678844,118.27,502.86,0.0,0.0
68100,0.0,-6.0,1.2602154244839123,0.0,4.260215424483912,118.1,502.76,0.0,0.0
68200,0.0,-6.0,1.2657019510760978,0.0,4.265701951076097,117.97,502.81,0.0,0.0
68300,0.0,-6.0,1.2626160736667253,0.0,4.262616073666725,118.11,503.06,0.0,0.0
68400,0.0,-6.0,1.2722696275527619,0.0,4.272269627552762,117.78,502.78,0.0,0.0
68500,0.0,-6.0,1.2586392284279995,0.0,4.258639228427999,118.19,502.98,0.0,0.0
68600,0.0,-6.0,1.266117167732193,0.0,4.266117167732191,117.87,502.5,0.0,0.0
68700,0.0,-6.0,1.2394529938460481,0.0,4.239452993846048,118.71,502.9,0.0,0.0
68800,0.0,-6.0,1.2448276261500124,0.0,4.244827626150013,118.58,502.89,0.0,0.0
68900,0.0,-6.0,1.2589611846011417,0.0,4.258961184601143,118.2,503.06,0.0,0.0
69000,0.0,-6.0,1.259348981257539,0.0,4.2593489812575385,118.1,502.63,0.0,0.0
69100,0.0,-6.0,1.2522177753761077,0.0,4.252217775376107,118.33,502.85,0.0,0.0
69200,0.0,-6.0,1.2662035598361068,0.0,4.266203559836106,118.01,503.07,0.0,0.0
69300,0.0,-6.0,1.246279690988158,0.0,4.246279690988158,118.48,502.72,0.0,0.0
69400,0.0,-6.0,1.2646190124429755,0.0,4.264619012442975,117.97,502.78,0.0,0.0
69500,0.0,-6.0,1.278617052210879,0.0,4.278617052210879,117.59,502.79,0.0,0.0
69600,0.0,-6.0,1.2640531209778072,0.0,4.264053120977807,118.02,502.87,0.0,0.0
69700,0.0,-6.0,1.27663537912455,0.0,4.27663537912455,117.66,502.86,0.0,0.0
69800,0.0,-6.0,1.2581684959846293,0.0,4.258168495984629,118.14,502.74,0.0,0.0
69900,0.0,-6.0,1.2769836033887552,0.0,4.2769836033887545,117.64,502.79,0.0,0.0
70000,0.0,-6.0,1.2484183041298307,0.0,4.248418304129831,118.46,502.95,0.0,0.0
70100,0.0,-6.0,1.2646203944662968,0.0,4.264620394466295,118.05,502.95,0.0,0.0
70200,0.0,-6.0,1.275540693687668,0.0,4.275540693687668,117.69,502.82,0.0,0.0
70300,0.0,-6.0,1.2487075683829796,0.0,4.248707568382979,118.42,502.71,0.0,0.0
70400,0.0,-6.0,1.2551895587188024,0.0,4.2551895587188024,118.23,502.73,0.0,0.0
70500,0.0,-6.0,1.2713513613552478,0.0,4.271351361355247,117.9,503.18,0.0,0.0
70600,0.0,-6.0,1.2793122399872259,0.0,4.2793122399872265,117.64,503.08,0.0,0.0
70700,0.0,-6.0,1.228475510196865,0.0,4.228475510196865,119.01,502.87,0.0,0.0
70800,0.0,-6.0,1.2763472086629446,0.0,4.276347208662945,117.68,502.83,0.0,0.0
70900,0.0,-6.0,1.2616047373311607,0.0,4.26160473733116,118.07,502.8,0.0,0.0
71000,0.0,-6.0,1.257503001956409,0.0,4.257503001956409,118.14,502.49,0.0,0.0
71100,0.0,-6.0,1.2721327397511586,0.0,4.272132739751158,117.83,502.91,0.0,0.0
71200,0.0,-6.0,1.2535240958778207,0.0,4.253524095877821,118.32,502.97,0.0,0.0
71300,0.0,-6.0,1.242040592821285,0.0,4.242040592821286,118.58,502.65,0.0,0.0
71400,0.0,-6.0,1.2564448406988222,0.0,4.256444840698822,118.23,502.83,0.0,0.0
71500,0.0,-6.0,1.2381201408239817,0.0,4.238120140823981,118.74,502.88,0.0,0.0
71600,0.0,-6.0,1.2861906266470757,0.0,4.286190626647075,117.39,502.82,0.0,0.0
71700,0.0,-6.0,1.270453890729015,0.0,4.270453890729015,117.78,502.65,0.0,0.0
71800,0.0,-6.0,1.2448101255201627,0.0,4.244810125520163,118.54,502.84,0.0,0.0
71900,0.0,-6.0,1.244525775008119,0.0,4.244525775008118,118.53,502.73,0.0,0.0
72000,0.0,-6.0,1.2689797313807645,0.0,4.268979731380765,117.88,502.9,0.0,0.0
72100,0.0,-6.0,1.2538238758715001,0.0,4.2538238758715,118.25,502.63,0.0,0.0
72200,0.0,-6.0,1.2776963279211087,0.0,4.2776963279211095,117.68,502.9,0.0,0.0
