num_exp,out of lives,illegal move,lost one life,discard,layers,activation,batch_sizes,gammas,learning_rates,obs_vec_type,num_actions,life_tokens,hint_tokens,epsilon_start,epsilon_decay_type,epsilon_low_at_epoch,epsilon_low
54,standard,-10,-10,standard,"[64, 64]",Tanh,500,0.99,0.001,62,11,3,8,0.25,exponential,100000,0.001
55,standard,-10,-10,standard,"[64, 64]",Tanh,500,0.99,0.001,62,11,3,8,0.0,exponential,100000,0.001
56,standard,-10,-10,standard,"[64, 64]",Tanh,500,0.99,0.001,62,11,25,8,0.25,exponential,100000,0.001
57,standard,-10,-10,standard,"[64, 64]",Tanh,500,0.99,0.001,62,11,25,8,0.0,exponential,100000,0.001
58,standard,-10,-10,standard,"[64, 64]",Tanh,500,0.99,0.001,62,11,100,8,0.25,exponential,100000,0.001
59,standard,-10,-10,standard,"[64, 64]",Tanh,500,0.99,0.001,62,11,100,8,0.0,exponential,100000,0.001
60,standard,-10,-10,standard,"[64, 64, 64]",Tanh,500,0.99,0.001,62,11,3,8,0.25,exponential,100000,0.001
61,standard,-10,-10,standard,"[64, 64, 64]",Tanh,500,0.99,0.001,62,11,3,8,0.0,exponential,100000,0.001
62,standard,-10,-10,standard,"[64, 64, 64]",Tanh,500,0.99,0.001,62,11,25,8,0.25,exponential,100000,0.001
63,standard,-10,-10,standard,"[64, 64, 64]",Tanh,500,0.99,0.001,62,11,25,8,0.0,exponential,100000,0.001
64,standard,-10,-10,standard,"[64, 64, 64]",Tanh,500,0.99,0.001,62,11,100,8,0.25,exponential,100000,0.001
65,standard,-10,-10,standard,"[64, 64, 64]",Tanh,500,0.99,0.001,62,11,100,8,0.0,exponential,100000,0.001
66,standard,-10,-10,standard,"[64, 64, 64, 64, 64, 64]",Tanh,500,0.99,0.001,62,11,3,8,0.25,exponential,100000,0.001
67,standard,-10,-10,standard,"[64, 64, 64, 64, 64, 64]",Tanh,500,0.99,0.001,62,11,3,8,0.0,exponential,100000,0.001
68,standard,-10,-10,standard,"[64, 64, 64, 64, 64, 64]",Tanh,500,0.99,0.001,62,11,25,8,0.25,exponential,100000,0.001
69,standard,-10,-10,standard,"[64, 64, 64, 64, 64, 64]",Tanh,500,0.99,0.001,62,11,25,8,0.0,exponential,100000,0.001
70,standard,-10,-10,standard,"[64, 64, 64, 64, 64, 64]",Tanh,500,0.99,0.001,62,11,100,8,0.25,exponential,100000,0.001
71,standard,-10,-10,standard,"[64, 64, 64, 64, 64, 64]",Tanh,500,0.99,0.001,62,11,100,8,0.0,exponential,100000,0.001
