episode:     88	 return:    2267.62	 score:    0	 fireworks:   23	 lives left:    0	 ep_len:   71	 ill moves:   10
episode:     89	 return:    2199.12	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   61	 ill moves:    2
episode:     90	 return:    1898.62	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   67	 ill moves:    2
episode:     91	 return:    1978.96	 score:    0	 fireworks:   20	 lives left:    0	 ep_len:   64	 ill moves:    2
episode:     92	 return:    2099.14	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   63	 ill moves:    2
episode:     93	 return:    1989.36	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   75	 ill moves:   11
episode:     94	 return:    2394.70	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   69	 ill moves:    7
episode:     95	 return:    1683.68	 score:    0	 fireworks:   17	 lives left:    0	 ep_len:   61	 ill moves:    0
episode:     96	 return:    2095.34	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   66	 ill moves:    5
episode:     97	 return:    1898.42	 score:   19	 fireworks:   19	 lives left:    2	 ep_len:   68	 ill moves:    2
episode:     98	 return:    2200.02	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   66	 ill moves:    1
episode:     99	 return:    1683.38	 score:    0	 fireworks:   17	 lives left:    0	 ep_len:   59	 ill moves:    0
episode:    100	 return:    2271.54	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   89	 ill moves:   30
episode:    101	 return:    2397.02	 score:   24	 fireworks:   24	 lives left:    1	 ep_len:   65	 ill moves:    4
episode:    102	 return:    1997.66	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   67	 ill moves:    3
episode:    103	 return:    2192.92	 score:   22	 fireworks:   22	 lives left:    2	 ep_len:   72	 ill moves:    8
episode:    104	 return:    1899.54	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   66	 ill moves:    1
episode:    105	 return:    2288.02	 score:   23	 fireworks:   23	 lives left:    2	 ep_len:   72	 ill moves:   13
episode:    106	 return:    1891.58	 score:   19	 fireworks:   19	 lives left:    1	 ep_len:   72	 ill moves:    9
episode:    107	 return:    2099.76	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   62	 ill moves:    1
episode:    108	 return:    2373.42	 score:   24	 fireworks:   24	 lives left:    2	 ep_len:   88	 ill moves:   28
episode:    109	 return:    2088.96	 score:   21	 fireworks:   21	 lives left:    1	 ep_len:   73	 ill moves:   12
episode:    110	 return:    2299.64	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   60	 ill moves:    1
episode:    111	 return:    1994.00	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   70	 ill moves:    7
episode:    112	 return:    2489.18	 score:   25	 fireworks:   25	 lives left:    2	 ep_len:   68	 ill moves:   12
episode:    113	 return:    1993.52	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   69	 ill moves:    7
episode:    114	 return:    2298.24	 score:   23	 fireworks:   23	 lives left:    1	 ep_len:   62	 ill moves:    3
episode:    115	 return:    1678.66	 score:    0	 fireworks:   17	 lives left:    0	 ep_len:   66	 ill moves:    5
episode:    116	 return:    1674.96	 score:    0	 fireworks:   17	 lives left:    0	 ep_len:   71	 ill moves:    8
episode:    117	 return:    2190.70	 score:   22	 fireworks:   22	 lives left:    1	 ep_len:   70	 ill moves:   10
episode:    118	 return:    1975.64	 score:    0	 fireworks:   20	 lives left:    0	 ep_len:   67	 ill moves:    5
episode:    119	 return:    1994.94	 score:   20	 fireworks:   20	 lives left:    1	 ep_len:   67	 ill moves:    6
episode:    120	 return:    1795.66	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   69	 ill moves:    5
episode:    121	 return:    1994.78	 score:   20	 fireworks:   20	 lives left:    2	 ep_len:   69	 ill moves:    6
episode:    122	 return:    2171.40	 score:    0	 fireworks:   22	 lives left:    0	 ep_len:   67	 ill moves:    7
episode:    123	 return:    1799.54	 score:   18	 fireworks:   18	 lives left:    1	 ep_len:   65	 ill moves:    1
episode:    124	 return:    1782.24	 score:    0	 fireworks:   18	 lives left:    0	 ep_len:   66	 ill moves:    0
episode:    125	 return:    1698.82	 score:   17	 fireworks:   17	 lives left:    1	 ep_len:   66	 ill moves:    2
episode:    126	 return:    2096.18	 score:   21	 fireworks:   21	 lives left:    2	 ep_len:   70	 ill moves:    5
