episode:    156	 return:     599.30	 score:   16	 fireworks:   16	 lives left:    1	 ep_len: 1065	 ill moves: 1001
episode:    157	 return:     699.26	 score:   17	 fireworks:   17	 lives left:    1	 ep_len: 1062	 ill moves: 1001
episode:    158	 return:     599.42	 score:   16	 fireworks:   16	 lives left:    1	 ep_len: 1063	 ill moves: 1001
episode:    159	 return:     599.14	 score:   16	 fireworks:   16	 lives left:    1	 ep_len: 1061	 ill moves: 1001
episode:    160	 return:     799.78	 score:   18	 fireworks:   18	 lives left:    2	 ep_len: 1060	 ill moves: 1001
episode:    161	 return:     298.40	 score:   13	 fireworks:   13	 lives left:    1	 ep_len: 1066	 ill moves: 1001
episode:    162	 return:      98.32	 score:   11	 fireworks:   11	 lives left:    1	 ep_len: 1068	 ill moves: 1001
episode:    163	 return:     398.82	 score:   14	 fireworks:   14	 lives left:    1	 ep_len: 1067	 ill moves: 1001
episode:    164	 return:     398.92	 score:   14	 fireworks:   14	 lives left:    1	 ep_len: 1067	 ill moves: 1001
episode:    165	 return:     499.16	 score:   15	 fireworks:   15	 lives left:    1	 ep_len: 1066	 ill moves: 1001
episode:    166	 return:     499.18	 score:   15	 fireworks:   15	 lives left:    1	 ep_len: 1064	 ill moves: 1001
episode:    167	 return:     799.40	 score:   18	 fireworks:   18	 lives left:    1	 ep_len: 1061	 ill moves: 1001
episode:    168	 return:    1499.70	 score:   15	 fireworks:   15	 lives left:    1	 ep_len:   69	 ill moves:    0
episode:    169	 return:     499.36	 score:   15	 fireworks:   15	 lives left:    1	 ep_len: 1066	 ill moves: 1001
episode:    170	 return:     699.74	 score:   17	 fireworks:   17	 lives left:    1	 ep_len: 1064	 ill moves: 1001
episode:    171	 return:     398.84	 score:   14	 fireworks:   14	 lives left:    1	 ep_len: 1065	 ill moves: 1001
episode:    172	 return:    1600.26	 score:   16	 fireworks:   16	 lives left:    1	 ep_len:   67	 ill moves:    0
episode:    173	 return:     797.06	 score:    8	 fireworks:    8	 lives left:    1	 ep_len:   75	 ill moves:    2
episode:    174	 return:     599.12	 score:   16	 fireworks:   16	 lives left:    1	 ep_len: 1063	 ill moves: 1001
episode:    175	 return:     899.14	 score:   19	 fireworks:   19	 lives left:    1	 ep_len: 1060	 ill moves: 1001
episode:    176	 return:     692.80	 score:    0	 fireworks:    7	 lives left:    0	 ep_len:   20	 ill moves:    0
episode:    177	 return:     598.94	 score:   16	 fireworks:   16	 lives left:    1	 ep_len: 1061	 ill moves: 1001
episode:    178	 return:     699.52	 score:   17	 fireworks:   17	 lives left:    2	 ep_len: 1063	 ill moves: 1001
episode:    179	 return:     399.36	 score:   14	 fireworks:   14	 lives left:    1	 ep_len: 1063	 ill moves: 1001
